Borough,Grade,Year,ELL,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4,Group
BRONX,8,2014,Current ELL,2429,262.7752075,1799,74.06340027,541,22.27254105,78,3.211198092,11,0.4528612494,89,3.664059401,Current ELL_Bronx_2014
BRONX,8,2014,Ever ELL,2291,292.2714844,917,40.0261879,948,41.37931061,341,14.8843298,85,3.710170269,426,18.59449959,Ever ELL_Bronx_2014
BRONX,8,2014,Never ELL,8965,283.9837036,4455,49.69325256,3319,37.0217514,950,10.59676647,241,2.688231945,1191,13.28499699,Never ELL_Bronx_2014
BROOKLYN,8,2014,Current ELL,2330,278.6163025,1366,58.6266098,628,26.95278931,229,9.828326225,107,4.592274666,336,14.42060089,Current ELL_Brooklyn_2014
BROOKLYN,8,2014,Ever ELL,3009,309.7846375,726,24.12761688,1156,38.41807938,706,23.46294403,421,13.99135971,1127,37.45430374,Ever ELL_Brooklyn_2014
BROOKLYN,8,2014,Never ELL,12413,293.8573303,4913,39.57947159,4836,38.95915604,1786,14.38814163,878,7.07322979,2664,21.46137047,Never ELL_Brooklyn_2014
MANHATTAN,8,2014,Current ELL,1133,273.5401611,721,63.63636398,292,25.77228546,84,7.413945198,36,3.177405119,120,10.59135056,Current ELL_Manhattan_2014
MANHATTAN,8,2014,Ever ELL,1590,304.8465271,433,27.23270416,653,41.06918335,367,23.08176041,137,8.616352081,504,31.69811249,Ever ELL_Manhattan_2014
MANHATTAN,8,2014,Never ELL,4761,298.5744629,1661,34.88763046,1787,37.5341301,862,18.10544014,451,9.472800255,1313,27.57823944,Never ELL_Manhattan_2014
QUEENS,8,2014,Current ELL,2003,280.1592712,1083,54.06889725,659,32.90065002,186,9.286070824,75,3.744383335,261,13.03045464,Current ELL_Queens_2014
QUEENS,8,2014,Ever ELL,3787,309.4219666,781,20.6231842,1713,45.23369598,884,23.34301567,409,10.80010605,1293,34.14311981,Ever ELL_Queens_2014
QUEENS,8,2014,Never ELL,10642,302.3512573,3103,29.15805244,4348,40.85698318,2248,21.12384796,943,8.861116409,3191,29.98496437,Never ELL_Queens_2014
STATEN ISLAND,8,2014,Current ELL,152,271.4934082,102,67.10526276,35,23.02631569,11,7.236842155,4,2.631578922,15,9.868420601,Current ELL_Staten-Island_2014
STATEN ISLAND,8,2014,Ever ELL,404,303.866333,105,25.99009895,170,42.07920837,103,25.49505043,26,6.435643673,129,31.93069267,Ever ELL_Staten-Island_2014
STATEN ISLAND,8,2014,Never ELL,3201,302.3086548,873,27.27272797,1367,42.70540619,745,23.27397728,216,6.747891426,961,30.02186775,Never ELL_Staten-Island_2014
BRONX,7,2014,Current ELL,2606,264.9823608,2149,82.46354675,393,15.08058357,58,2.225633144,6,0.2302379161,64,2.455871105,Current ELL_Bronx_2014-2015
BRONX,8,2015,Current ELL,2503,262.9692383,1870,74.71035004,552,22.05353546,71,2.836596012,10,0.399520576,81,3.236116648,Current ELL_Bronx_2014-2015
BRONX,8,2015,Ever ELL,2487,292.3478088,1022,41.09368896,1038,41.73703384,292,11.74105358,135,5.428226948,427,17.16928101,Ever ELL_Bronx_2014-2015
BRONX,7,2014,Never ELL,12230,291.6226501,6038,49.37039948,4132,33.78577423,1654,13.52412128,406,3.319705725,2060,16.84382629,Never ELL_Bronx_2014-2015
BRONX,8,2015,Never ELL,8540,284.4203796,4331,50.7142868,2981,34.90632248,869,10.17564392,359,4.203747272,1228,14.37939072,Never ELL_Bronx_2014-2015
BROOKLYN,7,2014,Current ELL,2167,279.226593,1386,63.95939255,490,22.61190605,225,10.38301754,66,3.045685291,291,13.42870331,Current ELL_Brooklyn_2014-2015
BROOKLYN,8,2015,Current ELL,2084,282.5124817,1154,55.37427902,603,28.93474007,205,9.836852074,122,5.854126453,327,15.690979,Current ELL_Brooklyn_2014-2015
BROOKLYN,8,2015,Ever ELL,3286,312.5730286,732,22.27632332,1285,39.10529709,664,20.20693779,605,18.4114418,1269,38.6183815,Ever ELL_Brooklyn_2014-2015
BROOKLYN,7,2014,Never ELL,17797,303.6640015,6545,36.77585983,5578,31.34236145,3546,19.92470551,2128,11.9570713,5674,31.88177872,Never ELL_Brooklyn_2014-2015
BROOKLYN,8,2015,Never ELL,11748,293.9596558,4817,41.00272369,4321,36.78072739,1636,13.92577457,974,8.290772438,2610,22.21654701,Never ELL_Brooklyn_2014-2015
MANHATTAN,7,2014,Current ELL,1145,275.3493347,787,68.73362732,254,22.18340683,83,7.24890852,21,1.834061146,104,9.082969666,Current ELL_Manhattan_2014-2015
MANHATTAN,8,2015,Current ELL,1026,273.7436523,688,67.05653381,237,23.09941483,56,5.458089828,45,4.38596487,101,9.844054222,Current ELL_Manhattan_2014-2015
MANHATTAN,8,2015,Ever ELL,1431,305.3319397,368,25.71628189,641,44.79384995,247,17.26065636,175,12.2292099,422,29.48986816,Ever ELL_Manhattan_2014-2015
MANHATTAN,7,2014,Never ELL,7153,309.6001587,2227,31.13379097,2136,29.86159706,1581,22.10261345,1209,16.90199852,2790,39.00461197,Never ELL_Manhattan_2014-2015
MANHATTAN,8,2015,Never ELL,4203,295.5995789,1629,38.75802994,1496,35.59362411,704,16.74994087,374,8.898406029,1078,25.64834595,Never ELL_Manhattan_2014-2015
QUEENS,7,2014,Current ELL,2103,282.2895813,1293,61.48359299,506,24.0608654,227,10.79410362,77,3.661436081,304,14.4555397,Current ELL_Queens_2014-2015
QUEENS,8,2015,Current ELL,1962,282.391449,1079,54.99490356,595,30.32619858,195,9.938838005,93,4.740061283,288,14.67889881,Current ELL_Queens_2014-2015
QUEENS,8,2015,Ever ELL,3989,310.9867249,764,19.15266991,1787,44.79819489,932,23.36425209,506,12.68488312,1438,36.0491333,Ever ELL_Queens_2014-2015
QUEENS,7,2014,Never ELL,18183,311.534729,4901,26.9537487,5911,32.50838852,4734,26.03530693,2637,14.50255775,7371,40.53786469,Never ELL_Queens_2014-2015
QUEENS,8,2015,Never ELL,9817,300.6416321,3195,32.54558563,3939,40.12427521,1737,17.69379616,946,9.63634491,2683,27.33014107,Never ELL_Queens_2014-2015
STATEN ISLAND,7,2014,Current ELL,168,268.9226074,132,78.57142639,31,18.45238113,3,1.785714269,2,1.190476179,5,2.976190567,Current ELL_Staten-Island_2014-2015
STATEN ISLAND,8,2015,Current ELL,157,265.1847229,119,75.79618073,30,19.10828018,7,4.458598614,1,0.6369426847,8,5.095541477,Current ELL_Staten-Island_2014-2015
STATEN ISLAND,8,2015,Ever ELL,399,300.8596497,120,30.07518768,175,43.85964966,75,18.79699326,29,7.268170357,104,26.06516266,Ever ELL_Staten-Island_2014-2015
STATEN ISLAND,7,2014,Never ELL,3875,308.9362488,1123,28.98064423,1276,32.92903137,959,24.74838638,517,13.34193516,1476,38.0903244,Never ELL_Staten-Island_2014-2015
STATEN ISLAND,8,2015,Never ELL,2692,299.5769043,864,32.09509659,1114,41.38187408,525,19.50222969,189,7.020802498,714,26.52303123,Never ELL_Staten-Island_2014-2015
BRONX,6,2014,Current ELL,2915,263.6665649,2095,71.86963654,688,23.60205841,108,3.704974174,24,0.823327601,132,4.528301716,Current ELL_Bronx_2014-2016
BRONX,7,2015,Current ELL,2653,262.7470703,2137,80.55032349,424,15.98190689,86,3.24161315,6,0.226159066,92,3.467772245,Current ELL_Bronx_2014-2016
BRONX,8,2016,Current ELL,2554,259.5501099,1930,75.56773376,542,21.22161293,75,2.936570168,7,0.2740798891,82,3.210649967,Current ELL_Bronx_2014-2016
BRONX,6,2014,Ever ELL,2036,298.8403625,597,29.32220078,874,42.92730713,347,17.04322243,218,10.70726871,565,27.7504921,Ever ELL_Bronx_2014-2016
BRONX,7,2015,Ever ELL,2434,298.754303,911,37.42810059,957,39.31799316,431,17.70747757,135,5.546425819,566,23.25390244,Ever ELL_Bronx_2014-2016
BRONX,8,2016,Ever ELL,2322,293.11026,924,39.79328156,921,39.66408157,322,13.86735535,155,6.675280094,477,20.54263496,Ever ELL_Bronx_2014-2016
BRONX,6,2014,Never ELL,9607,289.3997192,3995,41.58426285,3567,37.12917709,1252,13.03216362,793,8.254397392,2045,21.28656197,Never ELL_Bronx_2014-2016
BRONX,7,2015,Never ELL,9354,291.3818665,4437,47.43425369,3166,33.84648132,1334,14.26127815,417,4.457985878,1751,18.71926498,Never ELL_Bronx_2014-2016
BRONX,8,2016,Never ELL,8169,284.5115662,4032,49.35732651,2783,34.06781769,931,11.39674377,423,5.178112507,1354,16.5748558,Never ELL_Bronx_2014-2016
BROOKLYN,6,2014,Current ELL,2529,279.5361938,1350,53.38078308,781,30.88177109,246,9.727165222,152,6.010280609,398,15.73744583,Current ELL_Brooklyn_2014-2016
BROOKLYN,7,2015,Current ELL,2258,279.3206482,1363,60.36315155,557,24.66784859,249,11.02745819,89,3.941541195,338,14.96899891,Current ELL_Brooklyn_2014-2016
BROOKLYN,8,2016,Current ELL,2112,278.1624146,1177,55.72916794,627,29.6875,215,10.17992401,93,4.403409004,308,14.58333302,Current ELL_Brooklyn_2014-2016
BROOKLYN,6,2014,Ever ELL,3025,319,422,13.95041275,1059,35.00826263,659,21.78512383,885,29.25619888,1544,51.0413208,Ever ELL_Brooklyn_2014-2016
BROOKLYN,7,2015,Ever ELL,3469,319.8610535,653,18.8238678,1150,33.15076447,888,25.59815598,778,22.42721176,1666,48.02536774,Ever ELL_Brooklyn_2014-2016
BROOKLYN,8,2016,Ever ELL,3360,317.2767944,683,20.32738113,1144,34.04761887,748,22.26190567,785,23.36309433,1533,45.625,Ever ELL_Brooklyn_2014-2016
BROOKLYN,6,2014,Never ELL,14222,300.7920837,4484,31.52861786,5050,35.50836563,2335,16.41822433,2353,16.54479027,4688,32.96301651,Never ELL_Brooklyn_2014-2016
BROOKLYN,7,2015,Never ELL,13692,303.6140747,4852,35.43675232,4430,32.35466003,2617,19.11334991,1793,13.09523773,4410,32.20858765,Never ELL_Brooklyn_2014-2016
BROOKLYN,8,2016,Never ELL,11099,297.1190186,4183,37.68807983,3871,34.87701416,1637,14.74907684,1408,12.68582726,3045,27.4349041,Never ELL_Brooklyn_2014-2016
MANHATTAN,6,2014,Current ELL,1193,272.7401428,728,61.0226326,330,27.66135788,83,6.957250595,52,4.358759403,135,11.31601048,Current ELL_Manhattan_2014-2016
MANHATTAN,7,2015,Current ELL,1055,270.2293701,758,71.8483429,211,20,63,5.971563816,23,2.180094719,86,8.151659012,Current ELL_Manhattan_2014-2016
MANHATTAN,8,2016,Current ELL,1004,264.8456116,714,71.11553955,232,23.10757065,38,3.784860611,20,1.992031932,58,5.776892662,Current ELL_Manhattan_2014-2016
MANHATTAN,6,2014,Ever ELL,1161,313.2428894,223,19.20758057,417,35.91731262,250,21.53316116,271,23.34194565,521,44.87510681,Ever ELL_Manhattan_2014-2016
MANHATTAN,7,2015,Ever ELL,1342,314.0931396,315,23.47242928,480,35.76750946,338,25.18628883,209,15.57377148,547,40.76005936,Ever ELL_Manhattan_2014-2016
MANHATTAN,8,2016,Ever ELL,1211,304.540863,342,28.2411232,480,39.63666534,244,20.14863777,145,11.97357559,389,32.12221146,Ever ELL_Manhattan_2014-2016
MANHATTAN,6,2014,Never ELL,5772,309.9509583,1504,26.05682564,1700,29.45252991,1036,17.94871712,1532,26.54192734,2568,44.49064636,Never ELL_Manhattan_2014-2016
MANHATTAN,7,2015,Never ELL,5608,312.1688538,1591,28.37018585,1595,28.44151306,1270,22.64621925,1152,20.54208183,2422,43.18830109,Never ELL_Manhattan_2014-2016
MANHATTAN,8,2016,Never ELL,4049,293.8565063,1619,39.9851799,1321,32.62533951,712,17.584589,397,9.804889679,1109,27.38947868,Never ELL_Manhattan_2014-2016
QUEENS,6,2014,Current ELL,2627,280.1880493,1391,52.95013428,853,32.47049713,233,8.869432449,150,5.709935188,383,14.57936764,Current ELL_Queens_2014-2016
QUEENS,7,2015,Current ELL,2262,282.8589783,1304,57.64809799,629,27.80725098,225,9.946949959,104,4.597701073,329,14.54465103,Current ELL_Queens_2014-2016
QUEENS,8,2016,Current ELL,1997,277.1477356,1160,58.0871315,600,30.04506683,150,7.511266708,87,4.356534958,237,11.86780167,Current ELL_Queens_2014-2016
QUEENS,6,2014,Ever ELL,3958,318.5199585,527,13.31480503,1392,35.16927719,977,24.68418312,1062,26.8317337,2039,51.51591873,Ever ELL_Queens_2014-2016
QUEENS,7,2015,Ever ELL,4504,318.4718018,850,18.87211418,1508,33.48134995,1251,27.77531052,895,19.87122536,2146,47.64653778,Ever ELL_Queens_2014-2016
QUEENS,8,2016,Ever ELL,3893,312.0310669,801,20.57539177,1574,40.43154526,878,22.55330086,640,16.43976402,1518,38.99306488,Ever ELL_Queens_2014-2016
QUEENS,6,2014,Never ELL,13362,311.4273987,2986,22.34695435,4371,32.71216965,2663,19.92965126,3342,25.01122665,6005,44.94087601,Never ELL_Queens_2014-2016
QUEENS,7,2015,Never ELL,12962,312.8227234,3452,26.63169289,3914,30.19595718,3242,25.01157188,2354,18.16077805,5596,43.17235184,Never ELL_Queens_2014-2016
QUEENS,8,2016,Never ELL,9120,300.9761047,2946,32.30263138,3434,37.65350723,1635,17.92763138,1105,12.1162281,2740,30.04385948,Never ELL_Queens_2014-2016
STATEN ISLAND,6,2014,Current ELL,219,268.8082275,147,67.12329102,56,25.57077599,11,5.022830963,5,2.283105135,16,7.30593586,Current ELL_Staten-Island_2014-2016
STATEN ISLAND,7,2015,Current ELL,185,271.8919067,133,71.89189148,40,21.62162209,11,5.94594574,1,0.5405405164,12,6.486486435,Current ELL_Staten-Island_2014-2016
STATEN ISLAND,8,2016,Current ELL,160,268.0562439,112,70,38,23.75,9,5.625,1,0.625,10,6.25,Current ELL_Staten-Island_2014-2016
STATEN ISLAND,6,2014,Ever ELL,332,310.6957703,54,16.26506042,142,42.77108383,80,24.09638596,56,16.86746979,136,40.96385574,Ever ELL_Staten-Island_2014-2016
STATEN ISLAND,7,2015,Ever ELL,408,310.1323547,97,23.77450943,162,39.70588303,103,25.24509811,46,11.27450943,149,36.51960754,Ever ELL_Staten-Island_2014-2016
STATEN ISLAND,8,2016,Ever ELL,379,298.9023743,124,32.71767807,164,43.27176666,65,17.15039635,26,6.860158443,91,24.01055336,Ever ELL_Staten-Island_2014-2016
STATEN ISLAND,6,2014,Never ELL,3650,307.3490295,860,23.5616436,1276,34.95890427,804,22.02739716,710,19.45205498,1514,41.47945023,Never ELL_Staten-Island_2014-2016
STATEN ISLAND,7,2015,Never ELL,3521,310.5285339,916,26.01533699,1192,33.85401917,900,25.56092072,513,14.56972408,1413,40.13064575,Never ELL_Staten-Island_2014-2016
STATEN ISLAND,8,2016,Never ELL,2656,298.4115295,861,32.41716766,1052,39.60843277,523,19.69126511,220,8.283132553,743,27.97439766,Never ELL_Staten-Island_2014-2016
BRONX,6,2015,Current ELL,2496,264.6253967,1757,70.39263153,606,24.27884674,105,4.206730843,28,1.12179482,133,5.328525543,Current ELL_Bronx_2015-2017
BRONX,7,2016,Current ELL,2408,265.2080688,1927,80.0249176,420,17.4418602,57,2.367109537,4,0.1661129594,61,2.533222675,Current ELL_Bronx_2015-2017
